SimulationTime(s),RTT(us),VehicleCount,PayloadSize(Bytes)
527,4292,88,9292
528,4020,87,9121
529,4135,88,9301
530,3920,87,9155
531,3857,87,9147
532,4089,87,9126
533,4044,87,9109
534,4282,86,9026
535,4017,87,9171
536,4085,86,9039
537,4305,85,8954
538,5352,86,9081
539,4376,85,8939
540,3899,85,8974
541,4624,85,8892
542,4250,85,8941
543,4094,84,8892
544,3895,84,8834
545,3679,84,8836
546,3920,84,8808
547,4717,85,8894
548,4023,85,8917
549,3982,85,8989
550,4001,85,8955
551,3915,85,8952
552,3692,84,8865
553,4046,85,8903
554,3953,84,8843
555,3856,84,8866
556,4364,85,8892
557,3975,85,8937
558,3944,84,8894
559,4178,85,8891
560,3799,84,8843
561,3871,84,8830
562,3889,85,8913
563,3756,85,8943
564,3875,85,8956
565,4292,86,8998
566,5465,86,9051
567,4221,85,8939
568,4214,86,8999
569,3875,85,8972
570,3876,85,8919
571,4188,85,8952
572,3931,85,8971
573,4385,84,8809
574,4717,85,8908
575,4643,84,8843
576,4679,83,8695
577,4906,84,8862
578,6074,83,8690
579,4760,83,8748
580,4711,83,8751
581,4636,83,8760
582,4584,83,8763
583,4944,83,8706
584,5126,83,8743
585,5918,83,8775
586,5160,84,8881
587,5246,83,8737
588,5426,83,8722
589,5592,84,8854
590,8718,83,8735
591,5219,83,8746
592,5822,84,8833
593,5417,83,8738
594,5691,83,8711
595,5345,83,8715
596,5559,83,8721
597,5301,83,8746
598,6102,83,8720
599,5441,83,8703
600,5181,83,8791
601,5041,83,8760
602,5087,83,8746
603,6819,83,8730
604,5040,83,8740
605,4618,83,8744
606,6224,83,8769
607,5651,83,8740
608,5200,83,8763
609,7057,83,8767
610,5378,84,8812
611,4966,84,8871
612,5629,84,8833
613,4874,85,8966
614,5553,85,8964
615,5019,85,8939
616,4416,86,9048
617,4785,85,8901
618,4580,84,8862
619,4553,85,8968
620,4686,84,8818
621,4878,84,8861
622,5624,84,8834
623,4571,84,8797
624,4930,83,8730
625,4587,84,8808
626,4526,83,8685
627,4032,83,8719
628,5156,83,8698
629,4324,83,8687
630,4316,83,8743
631,4641,84,8798
632,5060,84,8795
633,4895,84,8855
634,6647,85,8907
635,4584,85,9001
636,5976,85,8989
637,5410,86,9046
638,5221,85,8968
639,5567,85,8983
640,4801,85,8967
641,4423,85,8971
642,4424,84,8863
643,5046,84,8860
644,4912,84,8843
645,4647,83,8756
646,5490,84,8845
647,4801,84,8819
648,4602,84,8880
649,4252,85,8916
650,5262,85,8963
651,4657,84,8906
652,4602,85,8902
653,4590,84,8798
654,4563,84,8834
655,6260,84,8837
656,5541,84,8837
657,5652,83,8758
658,6538,84,8843
659,6656,83,8709
660,5372,83,8748
661,5188,84,8827
662,4579,83,8751
663,4563,83,8769
664,4823,84,8840
665,5742,83,8764
666,4652,83,8779
667,5100,83,8712
668,5073,83,8705
669,6683,83,8689
670,5225,83,8759
671,4814,83,8678
672,5430,83,8780
673,5083,84,8832
674,5604,84,8861
675,4785,84,8880
676,5811,85,8910
677,4466,85,8967
678,4935,85,8965
679,5685,86,9023
680,4982,85,8938
681,5490,85,8919
682,6458,85,8983
683,5288,85,8941
684,17477,84,8834
685,9032,84,8849
686,8858,84,8798
687,6351,83,8765
688,7217,84,8848
689,8377,83,8772
690,9463,83,8772
691,5961,83,8718
692,5200,83,8756
693,5485,83,8744
694,6655,84,8806
695,5521,84,8851
696,4586,84,8876
697,5179,85,8892
698,4498,85,8973
699,4628,85,8972
700,4680,86,9014
701,4311,86,9022
702,4220,86,9089
703,4426,87,9157
704,4469,87,9107
705,4302,87,9187
706,5625,88,9236
707,4319,88,9283
708,5060,87,9209
709,4619,88,9230
710,4108,87,9199
711,4339,87,9218
712,5549,87,9152
713,4277,86,9029
714,4098,86,9096
715,4123,86,9075
716,4315,86,9023
717,4967,85,8974
718,4286,86,9104
719,4488,85,8960
720,4884,85,9000
721,5146,85,8923
722,6401,85,8989
723,6234,84,8886
724,5868,85,8920
725,4794,85,8974
726,5601,85,8943
727,4631,86,9029
728,5203,86,9086
729,4295,86,9074
730,4521,87,9125
731,3980,87,9200
732,4034,87,9154
733,4627,88,9274
734,4662,87,9160
735,4153,87,9156
736,5218,88,9230
737,4712,88,9264
738,4484,88,9257
739,6907,89,9323
740,5351,89,9327
741,4325,88,9260
742,4905,89,9346
743,4783,88,9218
744,4080,88,9274
745,4947,88,9211
746,4344,88,9229
747,4476,88,9280
748,4107,89,9414
749,4202,89,9389
750,4545,89,9377
751,5077,90,9487
752,4689,90,9483
753,4366,90,9487
754,4802,91,9604
755,4648,91,9596
756,5851,90,9491
757,5342,91,9610
758,4790,90,9432
759,4657,90,9480
760,5259,90,9436
761,6672,90,9462
762,6211,89,9402
763,4924,89,9311
764,4158,89,9394
765,4583,88,9233
766,5702,89,9361
767,5684,88,9272
768,5004,87,9195
769,4960,88,9254
770,6110,87,9161
771,5808,87,9138
772,5262,87,9134
773,6059,87,9147
774,5630,86,9028
775,7717,86,9031
776,6246,86,9021
777,5754,85,8946
778,6564,86,9089
779,10028,85,8894
780,5602,84,8842
781,5542,85,8984
782,5213,85,8891
783,6947,85,8980
784,5381,86,9020
785,6617,86,9056
786,5571,86,9101
787,6595,87,9124
788,6461,86,9005
789,5739,85,8940
790,5502,86,9102
791,6887,85,8939
792,4961,85,8972
793,6355,85,8889
794,11457,85,8889
795,7347,84,8875
796,6732,85,8903
797,7729,84,8838
798,6381,84,8856
799,6934,84,8814
800,5826,84,8842
801,5765,84,8823
802,7445,85,8899
803,7242,85,8942
804,8586,85,8985
805,8460,85,8905
806,7671,85,8947
807,7231,84,8867
808,6236,85,8903
809,7325,84,8871
810,6322,84,8868
811,8440,84,8822
812,6987,84,8868
813,8322,84,8828
814,13286,85,8910
815,9577,85,8977
816,7147,85,8944
817,6405,86,9075
818,5259,85,8989
819,5072,85,8919
820,11560,85,8972
821,4754,85,9000
822,4917,84,8814
823,4862,84,8881
824,5859,84,8849
825,6192,83,8727
826,5695,84,8822
827,6621,84,8869
828,5620,84,8906
829,5366,85,8920
830,4504,84,8852
831,4691,84,8861
832,5924,84,8863
833,5296,84,8847
834,4946,83,8729
835,5918,84,8820
836,7850,83,8761
837,7211,83,8786
838,5111,84,8819
839,4521,84,8882
840,4833,84,8892
841,5292,85,8914
842,4395,85,8982
843,4601,85,9010
844,4690,86,9034
845,4602,86,9066
846,4421,86,9040
847,4793,86,9026
848,4126,86,9077
849,4321,86,9008
850,4957,87,9145
851,6681,86,9023
852,6844,86,9038
853,5265,87,9138
854,5330,87,9155
855,4335,87,9189
856,5023,88,9269
857,4813,88,9247
858,5581,88,9244
859,5858,89,9389
860,5287,89,9330
861,4960,89,9395
862,4521,89,9377
863,4250,89,9317
864,4133,88,9269
865,4347,89,9403
866,5827,88,9218
867,5329,87,9173
868,4922,88,9276
869,4440,87,9146
870,4114,87,9179
871,4184,87,9115
872,4863,87,9146
873,4457,86,9013
874,4605,86,9026
875,4219,86,9057
876,4195,85,8944
877,4240,86,9069
878,4304,85,8956
879,4661,85,8937
880,4304,85,8908
881,4435,85,8898
882,4179,85,8941
883,4356,85,8903
884,4455,85,8945
885,4252,84,8837
886,4095,85,8945
887,4059,84,8819
888,4040,84,8885
889,4521,85,8967
890,4284,85,8911
891,4104,84,8865
892,4187,85,8965
893,4381,84,8867
894,3964,84,8866
895,4139,85,8900
896,4443,84,8849
897,4168,84,8883
898,4607,84,8814
899,4062,84,8848
900,4346,83,8735
901,4397,84,8807
902,4289,84,8848
903,3909,84,8896
904,4383,84,8797
905,3901,84,8844
906,3889,83,8805
907,4327,84,8793
908,4207,84,8802
909,4350,83,8736
910,4237,84,8865
911,5002,83,8749
912,5074,83,8780
913,5142,83,8746
914,4472,83,8691
915,4796,83,8782
916,4359,83,8695
917,4223,83,8768
918,4013,83,8808
919,4284,83,8714
920,4922,83,8771
921,3946,83,8709
922,4215,83,8693
923,4148,83,8715
924,4351,83,8743
925,4104,84,8863
926,4255,84,8792
927,4045,83,8737
928,3921,84,8881
929,4271,83,8705
930,4497,83,8741
931,4505,83,8796
932,3945,83,8684
933,3846,83,8742
934,5053,84,8808
935,3918,84,8785
936,4128,83,8743
937,3998,84,8833
938,3946,84,8854
939,4052,83,8777
940,4082,84,8794
941,3675,83,8693
942,3781,83,8729
943,4383,84,8828
944,4428,83,8709
945,4057,83,8757
946,4286,83,8718
947,4628,83,8732
948,4552,83,8808
949,4974,84,8914
950,4738,84,8881
951,4029,84,8848
952,4504,85,8937
953,4639,85,8949
954,5130,85,8974
955,5224,86,9066
956,4541,86,9071
957,4581,86,9103
958,4193,87,9190
959,4434,87,9174
960,4081,87,9182
961,4680,87,9146
962,4208,87,9161
963,5172,86,9063
964,5314,87,9145
965,4289,86,9057
966,4968,86,9050
967,5390,86,9031
968,5085,86,9059
969,4691,85,8998
970,4731,85,8917
971,5326,85,9003
972,4869,84,8883
973,5053,85,8941
974,5459,84,8880
975,4296,84,8834
976,4507,84,8829
977,4318,83,8758
978,5405,83,8742
979,4548,84,8812
980,4571,84,8865
981,4501,84,8866
982,4734,85,8942
983,4263,85,8970
984,4118,85,8962
985,4171,86,9047
986,3914,86,9060
987,3865,86,9081
988,4162,87,9124
989,4065,86,9064
990,4215,86,9017
991,4558,86,9005
992,4565,86,9008
993,4563,85,8943
994,4412,86,9016
995,4060,85,8966
996,3844,84,8853
997,4698,85,8910
998,4178,84,8820
999,4280,84,8797
1000,4646,84,8831
